,filename,sentence,paragraph_index,year,date,paragraphs,num_char_sentence,total_chars
0,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"At its meeting today, the Bank Board kept interest rates unchanged.",1.0,2022,4/8/2022,15.0,67.0,4345.0
1,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"The two-week repo rate remains at 7%, the discount rate at 6% and the Lombard rate at 8%.",1.0,2022,4/8/2022,15.0,89.0,4345.0
2,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"Five members voted in favour of this decision, and two members voted for increasing rates by one percentage point.</",1.0,2022,4/8/2022,15.0,116.0,4345.0
3,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The CNB’s interest rates are at a level that is dampening domestic demand pressures.,2.0,2022,4/8/2022,15.0,84.0,4345.0
4,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,They are slowing growth in loans to households and firms and hence also in the quantity of money in the economy.,2.0,2022,4/8/2022,15.0,112.0,4345.0
5,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The Bank Board agreed that long-term price stability is also contingent on moderate wage bargaining demands and responsible fiscal policy.,2.0,2022,4/8/2022,15.0,138.0,4345.0
6,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The Bank Board will wait for further data and will assess them.,2.0,2022,4/8/2022,15.0,63.0,4345.0
7,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,It will decide at the next meeting whether rates will remain unchanged or increase.,2.0,2022,4/8/2022,15.0,83.0,4345.0
8,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The decision adopted by the Bank Board is underpinned by a new macroeconomic forecast.,3.0,2022,4/8/2022,15.0,86.0,4345.0
9,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"In the baseline scenario of the forecast, the monetary policy horizon is shifted to 18–24 months ahead due to extraordinary cost pressures amid exceptionally high uncertainty.",3.0,2022,4/8/2022,15.0,175.0,4345.0
10,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The Bank Board also discussed other scenarios.,3.0,2022,4/8/2022,15.0,46.0,4345.0
11,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The Czech National Bank will continue to prevent excessive fluctuations of the koruna.,4.0,2022,4/8/2022,15.0,86.0,4345.0
12,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The Czech economy is facing both strong cost inflation pressures from the external environment and demand pressures from the domestic economy.,5.0,2022,4/8/2022,15.0,142.0,4345.0
13,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"Household consumption, which is crucial for the future course of demand-pull inflation, is being dampened by high energy and food prices, negative sentiment and higher interest rates.",6.0,2022,4/8/2022,15.0,183.0,4345.0
14,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"On the other hand, unemployment remains low.",7.0,2022,4/8/2022,15.0,44.0,4345.0
15,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,Industrial production has so far been resilient to the increased costs and supply chain problems.,7.0,2022,4/8/2022,15.0,97.0,4345.0
16,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"However, external demand is now having a negative effect on GDP. Leading indicators point to a further slowdown in external demand.",7.0,2022,4/8/2022,15.0,131.0,4345.0
17,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The effect of fiscal policy on economic activity is now broadly neutral.,8.0,2022,4/8/2022,15.0,72.0,4345.0
18,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"According to our new forecast, inflation will rise further in the coming few months.",9.0,2022,4/8/2022,15.0,84.0,4345.0
19,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The rise will be due mainly to gas and electricity prices.,9.0,2022,4/8/2022,15.0,58.0,4345.0
20,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,We expect inflation to reach around 20% in the autumn and to average 16.5% for the year as a whole (in our spring forecast we expected 13.1%).,9.0,2022,4/8/2022,15.0,142.0,4345.0
21,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"According to the forecast, inflation should decline to around 2% in a year and a half.",9.0,2022,4/8/2022,15.0,86.0,4345.0
22,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,GDP grew by 3.5% last year.,10.0,2022,4/8/2022,15.0,27.0,4345.0
23,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"According to the forecast, economic growth will drop to 2.3% this year (the spring forecast for GDP growth this year was 0.8%).",10.0,2022,4/8/2022,15.0,127.0,4345.0
24,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,A further slowdown to 1.1% is expected for next year (the spring forecast was 3.6%).,10.0,2022,4/8/2022,15.0,84.0,4345.0
25,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,We expect domestic demand to slow.,10.0,2022,4/8/2022,15.0,34.0,4345.0
26,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"Household consumption will be hit by a decline in real income, as wage growth will not cover growth in living costs.",10.0,2022,4/8/2022,15.0,116.0,4345.0
27,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"Firms are facing rising costs of energy and other commodities and materials, and will rein in investment for that reason as well.",10.0,2022,4/8/2022,15.0,129.0,4345.0
28,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"According to the baseline scenario of the forecast, three-month market interest rates (3M PRIBOR) will be broadly stable initially and decline gradually next year.",11.0,2022,4/8/2022,15.0,163.0,4345.0
29,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,The forecast expects the koruna exchange rate to depreciate modestly in the next few quarters.,12.0,2022,4/8/2022,15.0,94.0,4345.0
30,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"As far as the external environment is concerned, our new forecast assumes that the inflation pressures will be stronger this year.",13.0,2022,4/8/2022,15.0,130.0,4345.0
31,https://www.cnb.cz/en/monetary-policy/bank-board-decisions/CNB-Board-decisions-1659624480000/?tab=statement,"A deterioration in economic sentiment and growth in households’ living costs and firms’ expenses, coupled with monetary policy tightening by major central banks, will gradually lead to a downturn in global economic activity and a decrease in inflation pressures in the years ahead.",13.0,2022,4/8/2022,15.0,281.0,4345.0
