,filename,sentence,paragraph_index,paragraphs,num_char_sentence,total_chars
0,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,"Press Conference of the CNB  Bank Board 1st Situation Report on Economic  and Monetary Developments 25 January 2007 The monetary policy decision taken  and the ratio of the votes cast At the close of the meeting, the Board decided to  leave the CNB two-week repo rate unchanged at  2.50 %.",1.0,4.0,289.0,2818.0
1,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,All six board members present voted in  favour of this decision.,1.0,4.0,64.0,2818.0
2,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,"The external environment Comparison between the January and October forecast assumptions 2007 2008   Effective indicator of consumer prices in the euro area    October  2.3 1.7   (percentages) January 2.1 1.7   Effective indicator of producer prices in the euro area  October  2.5 2.6   (percentages) January 2.3 2.3   Effective indicator of GDP in the euro area (percentages) October  1.6 1.8 January 1.8 1.9   Price of Brent crude oil (USD/barrel) October  69.9 70.6 January 64.7 67.7   Price of petrol (USD/t) October  638.1 672.0 January 594.1 645.7   USD/EUR exchange rate (level) October  1.31 1.31 January 1.32 1.30   1Y EURIBOR  (percentages) October  3.9 3.8 January 3.9 3.8 The January inflation forecast 5 4 target band  inflation target  until 12/05 3 2 monetary inflation forecast 1 policy actual inflation horizon 0 1/05 4 7 10 1/06 4 7 10 1/07 4 7 10 1/08 4 7 10 The inflation forecast excluding the  first-round effects of indirect taxes 5 4 target band inflation target  until 12/05 3 2 monetary policy 1 actual inflation horizon inflation forecast 0 1/05 4 7 10 1/06 4 7 10 1/07 4 7 10 1/08 4 7 10 Comparison with the October forecast • As of the January macroeconomic forecast, the core projection model has  been extended to include the inflationary effect of real wage costs.",1.0,4.0,1296.0,2818.0
3,,,,,,
4,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,Compared to the  October forecast the rate of growth is slightly lower in 2007 and 2008.,2.0,4.0,88.0,2818.0
5,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,• Expected inflation pressures from the real economy are similar compared to the October forecast for the beginning of the forecasting period.,3.0,4.0,142.0,2818.0
6,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,"They grow in the beginning of the year 2007, but decline during the year.",3.0,4.0,73.0,2818.0
7,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,"In  2008, the real economy will have an antiinflationary effect.",3.0,4.0,64.0,2818.0
8,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,"• Compared to the October forecast, inflation is lower in 2007 and 2008 but  this difference gradually decreases during 2008.",4.0,4.0,125.0,2818.0
9,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,Inflation at the monetary  policy horizon (2008 H1) remains in the upper part of the tolerance band  of the inflation target.,4.0,4.0,125.0,2818.0
10,C:/Modeling/ETA/Czechia/TK_01SZ2007_EN.pdf,The January forecast   Forecast for inflation (CPI) in:   December 2007 (+4 quarters)  2.4 – 3.8 %   June 2008 (+6 quarters)  2.8 – 4.2 %        Forecast for GDP growth in:   2007                                                    4.4  - 6.2 %   2008                                                    3.1  - 6.5 % Major uncertainties of the forecast • lower oil and petrol prices • foreign economic outlook • koruna exchange rate development • revision of the consumer basket • future fiscal development,4.0,4.0,504.0,2818.0
