,filename,sentence,paragraph_index,year,date,is_table,paragraphs,num_char_sentence,total_chars
0,./Czechia/tk_05sz2009_aj.pdf," Press Conference of the CNB Bank Board 5th Situation Report on Economic  and Monetary Developments August,  2009 The  monetary  policy  decision  taken   and  the  ratio  of  the  votes  cast At the close of the meeting the Board decided unanimously to decrease the CNB two-week repo rate by 0.25 percentage  point to 1.25,  effective  August ",1,2009,2009/08/07,0,8,344,1730
1,./Czechia/tk_05sz2009_aj.pdf," At the same time it  decided to decrease the discount rate and Lombard rate by  the same,amount  to 0.25  and 2.25  ",1,2009,2009/08/07,0,8,117,1730
2,./Czechia/tk_05sz2009_aj.pdf, Message  of  the  forecast  Headline (and monetary-policy relevant) inflation will continue  to fall this ,1,2009,2009/08/07,0,8,107,1730
3,./Czechia/tk_05sz2009_aj.pdf, It will remain low but positive for the rest of  this year and at the start of ,1,2009,2009/08/07,0,8,80,1730
4,./Czechia/tk_05sz2009_aj.pdf, Next year inflation will start  rising and will get to the 2% inflation target at the end of ,1,2009,2009/08/07,0,8,94,1730
5,./Czechia/tk_05sz2009_aj.pdf," The economic decline bottomed out in Q2 and the quarter-on- quarter growth is expected as from 2009 Q3.,However  the  sharp fall in GDP at the beginning of the year will pass through  into  year-on-year decline in GDP for the remainder of the  ",2,2009,2009/08/07,0,8,245,1730
6,./Czechia/tk_05sz2009_aj.pdf, The nominal exchange rate of the koruna is modestly  appreciating over the forecast ,3,2009,2009/08/07,0,8,85,1730
7,./Czechia/tk_05sz2009_aj.pdf, Consistent with the forecast is  decline in market interest rates  this year followed by  modest rise from 2010 H2 ,4,2009,2009/08/07,0,8,116,1730
9,./Czechia/tk_05sz2009_aj.pdf, The forecast for both headline and monetary-policy relevant  inflation in 2009 and 2010 is somewhat lower than in the  previous ,5,2009,2009/08/07,0,8,129,1730
10,./Czechia/tk_05sz2009_aj.pdf, The interest rate path lies slightly below the level of the  previous forecast in both 2009 and ,6,2009,2009/08/07,0,8,97,1730
11,./Czechia/tk_05sz2009_aj.pdf," The CZK/EUR exchange rate outlook is equal to the previous  forecast in,2009  whereas in 2010 is somewhat ",7,2009,2009/08/07,0,8,107,1730
12,./Czechia/tk_05sz2009_aj.pdf, Major  risks  of  the  forecast Forecast risks are overall slightly on the down ,7,2009,2009/08/07,0,8,81,1730
13,./Czechia/tk_05sz2009_aj.pdf, Inflation risk on the down:side   currently stronger koruna exchange rate Inflation risk on the up:side   currently higher oil ,8,2009,2009/08/07,0,8,128,1730
23,./Czechia/tk_01sz2010_aj.pdf," Press conference of the CNB Bank  Board 1st Situation Report on  Economic and Monetary  Developments February,  2010 The monetary policy decision taken and the  ratio of the votes cast  Six out of seven Bank Board members atttended the meeting (one absent due to ",1,2010,2010/02/04,0,9,264,1409
24,./Czechia/tk_01sz2010_aj.pdf, At the close of the meeting the Bank Board decided unanimously to leave the two-week repo rate unchanged at ,2,2010,2010/02/04,0,9,109,1409
25,./Czechia/tk_01sz2010_aj.pdf,  Reasons for the decision  Headline and monetary-policy relevant inflation will be  close to the 2% target at the monetary policy ,3,2010,2010/02/04,0,9,131,1409
26,./Czechia/tk_01sz2010_aj.pdf, Consistent with the forecast is stability of short-term  interest rates close to their current levels in the first half  of this year and  gradual rise in rates ,4,2010,2010/02/04,0,9,162,1409
28,./Czechia/tk_01sz2010_aj.pdf,"  The tone of the forecast  Headline inflation will rise during,2010  getting just above the CNB’s  target of 2% in the H2 as  result of tax ",6,2010,2010/02/04,0,9,141,1409
