,filename,sentence,paragraph_index,year,date,paragraphs,num_char_sentence,total_chars
0,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,26 July 2022,1.0,2022,26/07/2022,20.0,12.0,8900.0
1,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"At its meeting on 26 July 2022, the Monetary Council reviewed the latest economic and financial developments and decided on the following structure of central bank interest rates with effect from 27 July 2022:",2.0,2022,26/07/2022,20.0,209.0,8900.0
2,,,,,,,,
3,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,The primary objective of the Magyar Nemzeti Bank (MNB) is to achieve and maintain price stability.,4.0,2022,26/07/2022,20.0,98.0,8900.0
4,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"Without prejudice to its primary objective, the Magyar Nemzeti Bank preserves financial stability and supports the Government’s economic policy, as well as its policy on environmental sustainability.",4.0,2022,26/07/2022,20.0,199.0,8900.0
5,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"The Russia-Ukraine war, a possible new wave of Covid-19, high commodity prices and ongoing disruptions in supply chains increase recession risks in global economy.",5.0,2022,26/07/2022,20.0,163.0,8900.0
6,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"The recent effects of financial market developments and persistently high commodity and energy prices as well as the worsening European drought, point to a prolonged period of high external inflation.",5.0,2022,26/07/2022,20.0,200.0,8900.0
7,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,There has been a general deterioration in investor sentiment since the end of June.,6.0,2022,26/07/2022,20.0,83.0,8900.0
8,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"Risk appetite has been driven by news on the war, expectations for interest rate increases by the world’s leading central banks, concerns caused by persistently high inflation, fears of recession and developments related to the coronavirus pandemic.",6.0,2022,26/07/2022,20.0,249.0,8900.0
9,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,Global prices of most of major commodities remain at high levels.,6.0,2022,26/07/2022,20.0,65.0,8900.0
10,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"By contrast, certain metals and oil prices have declined since the June interest rate decision.",6.0,2022,26/07/2022,20.0,95.0,8900.0
11,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"In response to persistently high inflation, monetary conditions have been tightened further by the world’s leading central banks as well as the region’s central banks.",7.0,2022,26/07/2022,20.0,167.0,8900.0
12,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"At its policy meeting in July, the European Central Bank raised its policy rate by 50 basis points, and ceased its asset purchase programme (APP) on 1 July.",7.0,2022,26/07/2022,20.0,156.0,8900.0
13,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"In the CEE region, the Polish central bank raised its key policy rate by 50 basis points and the Romanian central bank by 100 basis points.",7.0,2022,26/07/2022,20.0,139.0,8900.0
14,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"Hungarian economic growth has been slowing; however, annual dynamics remain buoyant.",8.0,2022,26/07/2022,20.0,84.0,8900.0
15,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"In May, industrial production and construction output continued to expand on an annual basis.",8.0,2022,26/07/2022,20.0,93.0,8900.0
16,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,The turnover of retail stores also rose at a double-digit rate in May relative to a year earlier.,8.0,2022,26/07/2022,20.0,97.0,8900.0
17,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"The labour market continues to be tight, and the unemployment rate remains low.",8.0,2022,26/07/2022,20.0,79.0,8900.0
18,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"Following a strong growth in the first half of 2022, real time data suggest a considerable slowdown in growth, which reflects the phase-out of single income support, restrained government investment and companies’ rising costs in addition to the deterioration in external economic activity.",8.0,2022,26/07/2022,20.0,290.0,8900.0
19,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,The time profile and structure of domestic GDP growth have strongly shown a dual nature in 2022.,9.0,2022,26/07/2022,20.0,96.0,8900.0
20,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,The rate of economic growth is likely to slow in the second half of the year.,9.0,2022,26/07/2022,20.0,77.0,8900.0
21,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"Components of domestic demand, particularly household consumption, are expected to contribute to growth this year.",9.0,2022,26/07/2022,20.0,114.0,8900.0
22,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"By contrast, net exports are likely to hold down the expansion.",9.0,2022,26/07/2022,20.0,63.0,8900.0
23,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"Looking forward, however, consumption and investment dynamics are also expected to slow considerably, while net exports are expected to make a positive contribution to GDP growth again as external markets and supply chains recover.",9.0,2022,26/07/2022,20.0,231.0,8900.0
24,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"Despite the temporary slowdown, the investment rate is expected to stabilise at a high level of above 27 percent on the forecast horizon.",9.0,2022,26/07/2022,20.0,137.0,8900.0
25,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"Hungary’s GDP is expected to grow by 4.5–5.5 percent in 2022, by 2.0–3.0 percent in 2023, and by 3.0–4.0 percent in 2024.",9.0,2022,26/07/2022,20.0,121.0,8900.0
26,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"In June 2022, annual inflation was 11.7 percent and core inflation stood at 13.8 percent.",10.0,2022,26/07/2022,20.0,89.0,8900.0
27,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,Food prices rose at a rate above 20 percent relative to the same period a year earlier.,10.0,2022,26/07/2022,20.0,87.0,8900.0
28,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,Repricings in June continued to be much greater than the level in recent years.,10.0,2022,26/07/2022,20.0,79.0,8900.0
29,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,Generally rising costs continue to quickly feed through to consumer prices.,10.0,2022,26/07/2022,20.0,75.0,8900.0
30,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,The Government’s measures affecting fuel and household energy prices are providing a cushion against the spillover of the increase in global commodity prices into domestic inflation.,10.0,2022,26/07/2022,20.0,182.0,8900.0
31,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"However, inflation expectations remain elevated.",10.0,2022,26/07/2022,20.0,48.0,8900.0
32,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,"The rise in energy, commodity and food prices continues to quickly feed through to consumer prices.",11.0,2022,26/07/2022,20.0,99.0,8900.0
33,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,Price dynamics are expected to peak during the autumn months and then to decline at a modest pace.,11.0,2022,26/07/2022,20.0,98.0,8900.0
34,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,The future course of price cap measures and the Government’s announcements regarding the household prices of electricity and natural gas are expected to have a significant effect on the timing of the peak and the subsequent inflation path.,11.0,2022,26/07/2022,20.0,239.0,8900.0
35,http://www.mnb.hu/en/monetary-policy/the-monetary-council/press-releases/2022/press-release-on-the-monetary-council-meeting-of-26-july-2022,Preventing second-round effects and anchoring inflation expectations are crucial in terms of achieving the inflation target.,11.0,2022,26/07/2022,20.0,124.0,8900.0
