,filename,sentence,paragraph_index,year,date,paragraphs,num_char_sentence,total_chars
0,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,  World economic activity weakened during the second quarter and recent indicators suggest that said  weakness would persist during the third quarter.,1.0,2022,11/08/2022,9.0,150.0,6089.0
1,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,"Inflation continued increasing, in some cases reaching  once again levels unseen in decades, in an environment where unbalances between demand and supply  in  diverse  markets  and  high  levels  of  food  and  energy  prices  persist.",1.0,2022,11/08/2022,9.0,235.0,6089.0
2,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,This  continues  generating  expectations of a fast withdrawal of monetary stimulus worldwide.,1.0,2022,11/08/2022,9.0,94.0,6089.0
3,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,Financial conditions remained tight  while the dollar continued gaining strength.,1.0,2022,11/08/2022,9.0,81.0,6089.0
4,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,"In its latest monetary policy decision, the Federal Reserve  raised the target range for the federal funds rate by 75 basis points for a second consecutive time and  anticipated future adjustments.",1.0,2022,11/08/2022,9.0,197.0,6089.0
5,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,"Job creation in that country accelerated at the beginning of the third  quarter and, although the latest figure on US inflation displayed a moderation, it still remains at high  levels.",1.0,2022,11/08/2022,9.0,185.0,6089.0
6,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,"In turn, a large number of other central banks have continued raising their reference rates, some  of them at a higher-than-foreseen magnitude.",1.0,2022,11/08/2022,9.0,143.0,6089.0
7,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,"Among key global risks are those associated with the  pandemic, the persistence of inflationary pressures, the intensification of geopolitical turmoil, and greater  adjustments in economic, monetary and financial conditions.",1.0,2022,11/08/2022,9.0,224.0,6089.0
8,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,"In domestic financial markets, the peso remained stable, while short-term interest rates increased and  long-term  ones  decreased.",2.0,2022,11/08/2022,9.0,131.0,6089.0
9,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/Mexico/{96D51354-49EC-881E-A105-DB13882FBE95}.pdf,"Recent  information  indicates  that  during  the  second  quarter  of  2022,  economic activity grew at a similar rate to that observed during the first quarter, thus continuing its gradual  recovery, while slack conditions decreased.",2.0,2022,11/08/2022,9.0,235.0,6089.0
