,filename,sentence,paragraph_index,year,date,paragraphs,num_char_sentence,total_chars
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,"             The Council decided to keep the NBP interest rates unchanged, i.e.:  • reference rate 6.5% on an annual basis;  • lombard rate 8.0% on an annual basis;  • deposit rate 5.0% on an annual basis;  • rediscount rate 7.0% on an annual basis.",1.0,2004,15/12/2004,15.0,249.0,5003.0
4,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,The Council maintains its tightening monetary policy bias.,2.0,2004,15/12/2004,15.0,58.0,5003.0
5,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,  Over the period since the last meeting of the Monetary Policy Council the assessment of the  outlook for the world economy has not changed significantly.,3.0,2004,15/12/2004,15.0,155.0,5003.0
6,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,The indicators of economic activity in  manufacturing and services as well as business confidence in the United States slightly improved.,3.0,2004,15/12/2004,15.0,137.0,5003.0
7,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,"The euro-zone saw deterioration in economic sentiment of enterprises, which mainly resulted from  the appreciation of the euro against the US dollar and the lack of improvement in the labour market.",4.0,2004,15/12/2004,15.0,198.0,5003.0
8,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,As  a  result  of  the  still  persisting  high  crude  oil  prices  and  the  euro  appreciation  the  main  international analytical centres slightly adjusted downwards their forecasts of economic growth in  the euro-zone.,5.0,2004,15/12/2004,15.0,224.0,5003.0
9,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,"Although in December oil prices in world markets were further decreasing, it is  difficult to assess the sustainability of these developments.",5.0,2004,15/12/2004,15.0,142.0,5003.0
10,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,"According to GUS data, GDP growth rate in Poland in 2004 Q3 stood at 4.8% (in comparison  with 6.1% in 2004 Q2) and was in line with the assessment presented in the November Inflation  Report.",6.0,2004,15/12/2004,15.0,192.0,5003.0
11,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,"However,  the  composition  of  GDP  growth  was  different  than  expected.",6.0,2004,15/12/2004,15.0,76.0,5003.0
12,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,"Individual  consumption growth was somewhat lower, both in comparison with the previous quarters and as  compared with the NBP estimates.",6.0,2004,15/12/2004,15.0,137.0,5003.0
13,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,"The growth rate of gross fixed capital formation increased (4.1%  in 2004 Q3, as compared with 3.6% in 2004 Q2), but this increase was markedly lower than  expected in the Inflation Report.",6.0,2004,15/12/2004,15.0,189.0,5003.0
14,C:\Modeling\ETA\Poland/mpc_151204_mp.pdf,Very high dynamics in inventories growth was observed for the  third consecutive quarter.,6.0,2004,15/12/2004,15.0,89.0,5003.0
