,filename,sentence,paragraph_index,year,date,paragraphs,num_char_sentence,total_chars
0,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"  South African Reserve Bank    PRESS STATEMENT  EMBARGO DELIVERY   21 November 2013          STATEMENT OF THE MONETARY POLICY COMMITTEE    Issued by Gill Marcus, Governor of the South African Reserve Bank    Since the previous meeting of the Monetary Policy Committee (MPC), the  headline inflation rate has returned to within the inflation target range.",1,2013,21/11/2013,29,355,18459
1,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"Despite  this favourable development, inflation is expected to remain uncomfortably close  to the upper end of the target band.",1,2013,21/11/2013,29,127,18459
2,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"Moreover, the upside risks to the inflation  outlook remain elevated, dominated by uncertainties primarily relating to both the  timing and the speed of the tapering of the US Fed’s bond purchasing  programme.",1,2013,21/11/2013,29,209,18459
3,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"  The domestic growth outlook remains fragile, with third quarter growth expected  to have been adversely affected by the protracted work stoppages in the motor  vehicle sector in particular, which also contributed to a decline in exports.",2,2013,21/11/2013,29,239,18459
4,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,Both  business and consumer confidence remain at low levels.,2,2013,21/11/2013,29,60,18459
5,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,The MPC therefore    2  continues to face the dilemma of upside risks to inflation against a backdrop of a  weaker growth outlook and a possible further depreciation of the currency.,2,2013,21/11/2013,29,182,18459
6,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"  Having breached the upper end of the inflation target range in July and August,  the year-on-year inflation rate as measured by the consumer price index (CPI) for  all urban areas declined to 6,0 per cent in September and 5,5 per cent in  October.",3,2013,21/11/2013,29,249,18459
7,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"Food and non-alcoholic beverages inflation surprised on the downside,  moderating to 4,3 per cent from 6,0 per cent in September, and contributing 0,6  percentage points to the annual CPI increase, compared with 0,9 percentage  points in the previous month.",3,2013,21/11/2013,29,257,18459
8,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"Petrol prices increased at a year-on-year rate of 9,3  per cent, down from 12,8 per cent in September.",3,2013,21/11/2013,29,102,18459
9,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"Core inflation, which excludes  food, petrol and electricity, was unchanged at 5,3 per cent, while administered  price inflation excluding petrol increased marginally to 7,1 per cent.",3,2013,21/11/2013,29,183,18459
10,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"The headline  producer price inflation for final manufactured goods was unchanged in  September at 6,7 per cent.",3,2013,21/11/2013,29,112,18459
11,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"   The headline inflation forecast of the Bank is more or less unchanged since the  previous meeting of the MPC. The forecast average inflation rates for 2013 and  2014 are 5,8 per cent and 5,7 per cent respectively, both years 0,1 percentage  point lower than in the previous forecast.",4,2013,21/11/2013,29,286,18459
12,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"The forecast for 2015 is unchanged at  5,4 per cent, with inflation expected to average 5,3 per cent in the final quarter of  that year.",4,2013,21/11/2013,29,136,18459
13,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"Inflation is expected to remain within the target range for the entire  forecast period, with a peak of 5,9 per cent in the second quarter of 2014.     3     The forecast for core inflation for 2013 is unchanged at an average of 5,2 per  cent, but has deteriorated for 2014 when it is expected to average 5,6 per cent  compared with the forecast of 5,4 per cent previously.",4,2013,21/11/2013,29,373,18459
14,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"The forecast for 2015  remains at 5,3 per cent, ending the year at 5,1 per cent.",4,2013,21/11/2013,29,80,18459
15,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,This upward drift of the  underlying inflation measure continues to be driven by the lagged effects of the  depreciation of the rand exchange rate and the impact of higher unit labour costs.,4,2013,21/11/2013,29,190,18459
16,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,  The global economy is characterised by a hesitant multispeed recovery.,5,2013,21/11/2013,29,72,18459
17,gdrive/MyDrive/20220622-ETA-FRIENDS/DATA/20220829-temp/SA/pdfs/2013 MPC Statement November 2013.pdf,"The  outlook for the US remains positive following third quarter growth of 2,8 per cent,  notwithstanding the fiscal headwinds and the unresolved budget and fiscal cliff  issues, which remain downside risks.",5,2013,21/11/2013,29,207,18459
