bank,filename,date_dt,chron_order_in_country,rate_curr,rate_next,rate_change,urate,pce_inf,effective_ffr,sentence
usfed,C:/Modeling/ETA/USA/html/20020507.htm,5/7/02,1,1.75,1.75,0,5.8,1.66036,1.790,the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. the information that has become available since the last meeting of the committee confirms that economic activity has been receiving considerable upward impetus from a marked swing in inventory investment. nonetheless the degree of the strengthening in final demand over coming quarters an essential element in sustained economic expansion is still uncertain. in these circumstances although the stance of monetary policy is currently accommodative the committee believes that for the foreseeable future against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals. voting for the fomc monetary policy action were: alan greenspan chairman; william j.
usfed,C:/Modeling/ETA/USA/html/20020626.htm,6/26/02,2,1.75,1.75,0,5.8,1.59335,1.730,the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. the information that has become available since the last meeting of the committee confirms that economic activity is continuing to increase. however both the upward impetus from the swing in inventory investment and the growth in final demand appear to have moderated. the committee expects the rate of increase of final demand to pick up over coming quarters supported in part by robust underlying growth in productivity but the degree of the strengthening remains uncertain. in these circumstances although the stance of monetary policy is currently accommodative the committee believes that for the foreseeable future against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals. voting for the fomc monetary policy action were: alan greenspan chairman; william j.
usfed,C:/Modeling/ETA/USA/html/20020813.htm,8/13/02,3,1.75,1.75,0,5.7,1.68798,1.810,the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. the softening in the growth of aggregate demand that emerged this spring has been prolonged in large measure by weakness in financial markets and heightened uncertainty related to problems in corporate reporting and governance. the current accommodative stance of monetary policy coupled with still-robust underlying growth in productivity should be sufficient to foster an improving business climate over time. nonetheless the committee recognizes that for the foreseeable future against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness. voting for the fomc monetary policy action were alan greenspan chairman; william j.
usfed,C:/Modeling/ETA/USA/html/20020924.htm,9/24/02,4,1.75,1.25,-1,5.7,2.43474,1.850,the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. the information that has become available since the last meeting of the committee suggests that aggregate demand is growing at a moderate pace. over time the current accommodative stance of monetary policy coupled with still robust underlying growth in productivity should be sufficient to foster an improving business climate. however considerable uncertainty persists about the extent and timing of the expected pickup in production and employment owing in part to the emergence of heightened geopolitical risks. consequently the committee believes that for the foreseeable future against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness. voting for the fomc monetary policy action were: alan greenspan chairman; william j. governor gramlich and president mcteer preferred a reduction in the target for the federal funds rate.
usfed,C:/Modeling/ETA/USA/html/20021106.htm,11/6/02,5,1.25,1.25,0,5.9,1.69805,1.230,the federal open market committee decided today to lower its target for the federal funds rate by 50 basis points to 1 1/4 percent. in a related action the board of governors approved a 50 basis point reduction in the discount rate to 3/4 percent. the committee continues to believe that an accommodative stance of monetary policy coupled with still-robust underlying growth in productivity is providing important ongoing support to economic activity. however incoming economic data have tended to confirm that greater uncertainty in part attributable to heightened geopolitical risks is currently inhibiting spending production and employment. in these circumstances the committee believes that today's additional monetary easing should prove helpful as the economy works its way through this current soft spot. with this action the committee believes that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals in the foreseeable future. voting for the fomc monetary policy action were alan greenspan chairman; william j. in taking the discount rate action the federal reserve board approved the requests submitted by the boards of directors of the federal reserve banks of dallas and new york.
usfed,C:/Modeling/ETA/USA/html/20021210.htm,12/10/02,6,1.25,1.25,0,6,1.769,1.160,the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. the committee continues to believe that this accommodative stance of monetary policy coupled with still robust underlying growth in productivity is providing important ongoing support to economic activity. the limited number of incoming economic indicators since the november meeting taken together are not inconsistent with the economy working its way through its current soft spot. in these circumstances the committee believes that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals for the foreseeable future. voting for the fomc monetary policy action were alan greenspan chairman; william j.
usfed,C:/Modeling/ETA/USA/html/20030129.htm,1/29/03,7,1.25,1.25,0,5.8,1.78006,1.330,the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. oil price premiums and other aspects of geopolitical risks have reportedly fostered continued restraint on spending and hiring by businesses. however the committee believes that as those risks lift as most analysts expect the accommodative stance of monetary policy coupled with ongoing growth in productivity will provide support to an improving economic climate over time. in these circumstances the committee believes that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals for the foreseeable future. voting for the fomc monetary policy action were alan greenspan chairman; william j.
usfed,C:/Modeling/ETA/USA/html/20030318.htm,3/18/03,8,1.25,1.25,0,5.9,1.76855,1.380,the federal open market committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. while incoming economic data since the january meeting have been mixed recent labor market indicators have proven disappointing. however the hesitancy of the economic expansion appears to owe importantly to oil price premiums and other aspects of geopolitical uncertainties. the committee believes that as those uncertainties lift as most analysts expect the accommodative stance of monetary policy coupled with ongoing growth in productivity will provide support to economic activity sufficient to engender an improving economic climate over time. in light of the unusually large uncertainties clouding the geopolitical situation in the short run and their apparent effects on economic decisionmaking the committee does not believe it can usefully characterize the current balance of risks with respect to the prospects for its long-run goals of price stability and sustainable economic growth. rather the committee decided to refrain from making that determination until some of those uncertainties abate. in the current circumstances heightened surveillance is particularly informative. voting for the fomc monetary policy action were alan greenspan chairman; william j.
usfed,C:/Modeling/ETA/USA/html/20030506.htm,5/6/03,9,1.25,1,-1,6.1,1.63085,1.280,the federal open market committee decided to keep its target for the federal funds rate unchanged at 1-1/4 percent. recent readings on production and employment though mostly reflecting decisions made before the conclusion of hostilities have proven disappointing. however the ebbing of geopolitical tensions has rolled back oil prices bolstered consumer confidence and strengthened debt and equity markets. these developments along with the accommodative stance of monetary policy and ongoing growth in productivity should foster an improving economic climate over time. although the timing and extent of that improvement remain uncertain the committee perceives that over the next few quarters the upside and downside risks to the attainment of sustainable growth are roughly equal. in contrast over the same period the probability of an unwelcome substantial fall in inflation though minor exceeds that of a pickup in inflation from its already low level. the committee believes that taken together the balance of risks to achieving its goals is weighted toward weakness over the foreseeable future. voting for the fomc monetary policy action were alan greenspan chairman; william j.
usfed,C:/Modeling/ETA/USA/html/20030625.htm,6/25/03,10,1,1,0,6.3,1.52762,1.450,the federal open market committee decided today to lower its target for the federal funds rate by 25 basis points to 1 percent. in a related action the board of governors approved a 25 basis point reduction in the discount rate to 2 percent. the committee continues to believe that an accommodative stance of monetary policy coupled with still robust underlying growth in productivity is providing important ongoing support to economic activity. recent signs point to a firming in spending markedly improved financial conditions and labor and product markets that are stabilizing. the economy nonetheless has yet to exhibit sustainable growth. with inflationary expectations subdued the committee judged that a slightly expansive monetary policy would add further support for an economy which it expects to improve over time. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. in contrast the probability though minor of an unwelcome substantial fall in inflation exceeds that of a pickup in inflation from its already low level. on balance the committee believes that the latter concern is likely to predominate for the foreseeable future. voting for the fomc monetary policy action were alan greenspan chairman; ben s. president parry preferred a 50 basis point reduction in the target for the federal funds rate. in taking the discount rate action the federal reserve board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york st. louis kansas city and san francisco.
usfed,C:/Modeling/ETA/USA/html/20030812.htm,8/12/03,11,1,1,0,6.1,1.48931,1.010,the committee continues to believe that an accommodative stance of monetary policy coupled with still-robust underlying growth in productivity is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period shows that spending is firming although labor market indicators are mixed. business pricing power and increases in core consumer prices remain muted. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. in contrast the probability though minor of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. the committee judges that on balance the risk of inflation becoming undesirably low is likely to be the predominant concern for the foreseeable future. in these circumstances the committee believes that policy accommodation can be maintained for a considerable period. voting for the fomc monetary policy action were: alan greenspan chairman; ben s.
usfed,C:/Modeling/ETA/USA/html/20030916.htm,9/16/03,12,1,1,0,6.1,1.46544,1.170,the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period confirms that spending is firming although the labor market has been weakening. business pricing power and increases in core consumer prices remain muted. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. in contrast the probability though minor of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. the committee judges that on balance the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future. in these circumstances the committee believes that policy accommodation can be maintained for a considerable period. voting for the fomc monetary policy action were: alan greenspan chairman; ben s.
usfed,C:/Modeling/ETA/USA/html/20031028.htm,10/28/03,13,1,1,0,6,1.56538,0.970,the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period confirms that spending is firming and the labor market appears to be stabilizing. business pricing power and increases in core consumer prices remain muted. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. in contrast the probability though minor of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. the committee judges that on balance the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future. in these circumstances the committee believes that policy accommodation can be maintained for a considerable period. voting for the fomc monetary policy action were: alan greenspan chairman; ben s.
usfed,C:/Modeling/ETA/USA/html/20031209.htm,12/9/03,14,1,1,0,5.7,1.63845,0.940,the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period confirms that output is expanding briskly and the labor market appears to be improving modestly. increases in core consumer prices are muted and expected to remain low. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. the probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation. however with inflation quite low and resource use slack the committee believes that policy accommodation can be maintained for a considerable period. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f.
usfed,C:/Modeling/ETA/USA/html/20040128.htm,1/28/04,15,1,1,0,5.7,1.82848,1.030,the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period confirms that output is expanding briskly. although new hiring remains subdued other indicators suggest an improvement in the labor market. increases in core consumer prices are muted and expected to remain low. the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. the probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation. with inflation quite low and resource use slack the committee believes that it can be patient in removing its policy accommodation. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f.
usfed,C:/Modeling/ETA/USA/html/20040316.htm,3/16/04,16,1,1,0,5.8,1.86093,1.050,the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid pace. increases in core consumer prices are muted and expected to remain low. the committee perceives the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. the probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation. with inflation quite low and resource use slack the committee believes that it can be patient in removing its policy accommodation. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f.
usfed,C:/Modeling/ETA/USA/html/20040504.htm,5/4/04,17,1,1.25,1,5.6,2.00496,1.020,the federal open market committee decided today to keep its target for the federal funds rate at 1 percent. the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity. the evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid rate and hiring appears to have picked up. although incoming inflation data have moved somewhat higher long-term inflation expectations appear to have remained well contained. the committee perceives the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. similarly the risks to the goal of price stability have moved into balance. at this juncture with inflation low and resource use slack the committee believes that policy accommodation can be removed at a pace that is likely to be measured. voting for the fomc monetary policy actions were: alan greenspan chairman; timothy f.
